fqdn;nome;id_documento;nome_contato;data_cadastro;data_ultalt
bnde.gov.br;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCI;033.657.248/0001-89;Eduardo Carneiro da Cunha;06/08/2018 12:38;06/08/2018 12:38
bndes.gov.br;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCI;033.657.248/0001-89;Eduardo Carneiro da Cunha;30/10/1995 12:00;08/08/2021 01:51
bndespar.gov.br;BNDES ParticipaÁıes S/A;000.383.281/0001-09;Eduardo Carneiro da Cunha;17/05/2006 17:29;11/11/2014 20:48
bnds.gov.br;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCI;033.657.248/0001-89;Eduardo Carneiro da Cunha;06/08/2018 12:38;06/08/2018 12:38
bn.gov.br;FUNDACAO BIBLIOTECA NACIONAL;040.176.679/0001-99;Rafael Alves da Silva;31/01/2013 13:39;29/04/2022 17:59
boavistaenergia.gov.br;Centrais Eletricas do Norte do Brasil;000.357.038/0001-16;Dept de Infraestrutura e Operacoes de TI;12/09/2000 12:00;05/05/2020 20:44
bolaofederal.gov.br;CAIXA ECONOMICA FEDERAL;000.360.305/0688-41;GerÍncia de Internet da CAIXA;02/05/2000 13:26;16/07/2015 18:31
bolsadacaixa.gov.br;CAIXA ECONOMICA FEDERAL;000.360.305/0655-83;GerÍncia de Internet da CAIXA;04/08/2000 21:17;16/07/2015 18:31
brasil2016.gov.br;ME - Ministerio do Esporte;002.961.362/0001-74;Ricardo Alexandre Araujo Silva;23/10/2013 13:42;05/09/2022 23:56
brasilcentral.gov.br;Sec. de Estado de Plan. e OrÁamento do DF;003.230.476/0001-07;Suporte Tecnico - SEPLAN;16/09/2015 19:09;03/09/2019 15:29
brasilcultura.gov.br;MINISTERIO DAS RELACOES EXTERIORES;000.394.536/0004-81;Nestor JosÈ Forster Junior;03/10/2001 14:45;25/05/2022 14:23
brasildigital.gov.br;Tribunal de Contas da Uni„o;000.414.607/0001-18;Lorena Brasil Cirilo Passos;02/03/2015 19:51;16/10/2020 20:32
brasileficiente.gov.br;PRESID√äNCIA DA REP√öBLICA;000.394.411/0001-09;SECRETARIA ESPECIAL DE ADMINISTRAÁ„O;27/10/2017 12:21;27/10/2017 12:21
brasilemcidades.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
brasilexport.gov.br;Min. RelaÁıes Exteriores Depto PromoÁ„o Comercial;000.394.536/0009-96;Carlos Henrique Moscardo;12/09/2013 12:24;02/05/2022 18:48
brasilglobalnet.gov.br;Min. RelaÁıes Exteriores Depto PromoÁ„o Comercial;000.394.536/0009-96;Carlos Henrique Moscardo;29/12/2010 12:59;25/05/2022 14:22
brasil.gov.br;PRESID√äNCIA DA REP√öBLICA;000.394.411/0001-09;SECRETARIA ESPECIAL DE ADMINISTRAÁ„O;06/12/1996 11:00;15/06/2021 19:00
brasilia2010.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
brasilmaior.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
brasilmaisprodutivo.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
brasilpresente.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
brasilre.gov.br;IRB - BRASIL RESSEGUROS SA;033.376.989/0001-91;Security Operation Center;16/06/2009 14:19;10/05/2022 14:14
brasilreinounido.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
brasil-rounds.gov.br;AgÍncia Nacional do Petr√≥leo, G√°s Natural e Bioco.;002.313.673/0002-08;Adriana Marc√≠lio;19/10/2001 10:56;16/08/2022 16:06
brasilsaudavelesustentavel.gov.br;SUBSEC. DE ASSUNTOS ADMIN. DO MIN. DA CIDADANIA;005.756.246/0001-01;Ricardo Alexandre Araujo Silva;29/04/2015 19:03;05/09/2022 23:56
brasilsemiseria.gov.br;SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO;033.683.111/0001-07;Gest„o do ServiÁo Internet - SERPRO;26/05/2011 16:59;14/08/2019 19:22
brasilsemmiseria.gov.br;SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO;033.683.111/0001-07;Gest„o do ServiÁo Internet - SERPRO;26/05/2011 16:59;14/08/2019 19:22
brasiltradenet.gov.br;Min. RelaÁıes Exteriores Depto PromoÁ„o Comercial;000.394.536/0009-96;Carlos Henrique Moscardo;01/02/2000 11:26;02/05/2022 18:57
brasiltransparente.gov.br;SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO;033.683.111/0001-07;Gest„o do ServiÁo Internet - SERPRO;21/08/2000 15:35;08/06/2020 13:33
brasilvoluntario.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
brazilenvironment-mobile.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
brazilexport.gov.br;Min. RelaÁıes Exteriores Depto PromoÁ„o Comercial;000.394.536/0009-96;Carlos Henrique Moscardo;14/08/2013 18:48;25/05/2022 14:51
brazilglobalnet.gov.br;Min. RelaÁıes Exteriores Depto PromoÁ„o Comercial;000.394.536/0009-96;Carlos Henrique Moscardo;05/05/2011 16:07;02/05/2022 18:57
brazil.gov.br;PRESID√äNCIA DA REP√öBLICA;000.394.411/0001-09;SECRETARIA ESPECIAL DE ADMINISTRAÁ„O;06/12/1996 11:00;29/10/2018 21:04
brazilgovnews.gov.br;PRESID√äNCIA DA REP√öBLICA;000.394.411/0001-09;SECRETARIA ESPECIAL DE ADMINISTRAÁ„O;25/07/2016 13:15;25/07/2016 13:15
brazilianexporters.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
brazil-rounds.gov.br;AgÍncia Nacional do Petr√≥leo, G√°s Natural e Bioco.;002.313.673/0002-08;Adriana Marc√≠lio;24/10/2000 22:43;16/08/2022 19:48
brazilrounds.gov.br;AgÍncia Nacional do Petr√≥leo, G√°s Natural e Bioco.;002.313.673/0002-08;Adriana Marc√≠lio;10/10/2000 17:47;16/08/2022 19:48
brazilsenvironment.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
braziltradenet.gov.br;Min. RelaÁıes Exteriores Depto PromoÁ„o Comercial;000.394.536/0009-96;Carlos Henrique Moscardo;28/01/2000 13:18;02/05/2022 18:57
br.gov.br;SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO;033.683.111/0001-07;Gest„o do ServiÁo Internet - SERPRO;18/11/2013 18:20;08/06/2020 13:31
brmcc.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
btig.gov.br;Min. RelaÁıes Exteriores Depto PromoÁ„o Comercial;000.394.536/0009-96;Carlos Henrique Moscardo;06/05/2013 15:12;02/05/2022 18:57
btn.gov.br;Min. RelaÁıes Exteriores Depto PromoÁ„o Comercial;000.394.536/0009-96;Carlos Henrique Moscardo;27/02/2004 19:17;02/05/2022 18:49
businessbrasil.gov.br;Min. RelaÁıes Exteriores Depto PromoÁ„o Comercial;000.394.536/0009-96;Carlos Henrique Moscardo;24/06/2013 14:44;02/05/2022 18:53
